TDS,EC,pH,SI1,SI2,SI3,SI4,SI5,SI6
0.684245885,0.684245885,0.918518519,0.501538295,0.48321108,0.179179282,0.277131134,0.015889747,0.241802068
0.694323144,0.694323144,0.914814815,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
0.687604971,0.687604971,0.914814815,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
0.694323144,0.694323144,0.911111111,0.501814589,0.483412039,0.179421705,0.277397881,0.015931712,0.241989969
0.993281827,0.993281827,1,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
0.996640914,0.996640914,0.988888889,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
0.993281827,0.993281827,0.985185185,0.502063895,0.483591053,0.179641263,0.277627324,0.015969729,0.242145669
0.651074555,0.846153846,0.813432836,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
1,0.857988166,0.802238806,0.483485513,0.475157872,0.170233894,0.311171811,0.014457923,0.285267707
0.67817556,0.884615385,0.835820896,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
0.70188894,0.917159763,0.873134328,0.483485513,0.475157872,0.170233894,0.311171811,0.014457923,0.285267707
0.253706062,0.375739645,0.529850746,0.483314337,0.475041048,0.17017062,0.311766906,0.014447588,0.285947625
0.021680804,0.029585799,0.503731343,0.509217029,0.494705578,0.188665351,0.308510405,0.01769119,0.274664788
0,0,0.436567164,0.504797362,0.491319777,0.185749886,0.311699289,0.017161392,0.279542307
0.02883547,0.041420118,0.507462687,0.52456535,0.506755742,0.200632517,0.313224451,0.019958023,0.274558842
0.502561045,0.686390533,0.708955224,0.503929803,0.490617276,0.184805471,0.308790678,0.016988883,0.276671675
0.084988753,0.115384615,0.593283582,0.509733163,0.495118467,0.189118407,0.309201145,0.017775053,0.275248188
0.074581967,0.103550296,0.548507463,0.52456535,0.506755742,0.200632517,0.313224451,0.019958023,0.274558842
0.668012683,0.884615385,0.921641791,0.483645012,0.475262244,0.170281589,0.3104943,0.014465603,0.284502145
0.705276566,0.920118343,0.932835821,0.483485513,0.475157872,0.170233894,0.311171811,0.014457923,0.285267707
0.659543619,0.866863905,0.867537313,0.525771234,0.503760309,0.197613985,0.292715352,0.019268885,0.250999109
0.852638283,0.890532544,0.867537313,0.526957929,0.504902026,0.198533659,0.293988571,0.01944883,0.252065529
0.647686929,0.843195266,0.708955224,0.525771234,0.503760309,0.197613985,0.292715352,0.019268885,0.250999109
0.629393751,0.849112426,0.71641791,0.526957929,0.504902026,0.198533659,0.293988571,0.01944883,0.252065529
0.174774384,0.227810651,0.358208955,0.528064687,0.505969297,0.199391598,0.295170401,0.019617504,0.253054092
0.590097293,0.766272189,0.791044776,0.50520656,0.480285074,0.183248215,0.274041943,0.01648836,0.234821163
0.562996287,0.730769231,0.776119403,0.50538493,0.480409936,0.183413699,0.274418037,0.016517214,0.235172939
0.678514323,0.881656805,0.888059701,0.50520656,0.480285074,0.183248215,0.274041943,0.01648836,0.234821163
0.689015962,0.881656805,0.880597015,0.50538493,0.480409936,0.183413699,0.274418037,0.016517214,0.235172939
0.139204314,0.183431953,0.645522388,0.505532804,0.48051019,0.183553637,0.274745669,0.016541582,0.23548101
0.671400309,0.902366864,0.776119403,0.512568838,0.483514822,0.189697153,0.280026455,0.017573737,0.237829841
0.669706496,0.902366864,0.794776119,0.512751811,0.483638134,0.189859806,0.280357948,0.017602624,0.238129306
0.214070842,0.286982249,0.593283582,0.512903887,0.483737773,0.189996817,0.280644349,0.017626917,0.238389438
0.13010854,0.174556213,0.664179104,0.507415521,0.483832917,0.186480502,0.305834724,0.017114265,0.270327758
0.722214694,0.970414201,0.970149254,0.507970331,0.484171686,0.18696082,0.306592983,0.01719842,0.270948457
0.744234261,1,0.955223881,0.508451331,0.484458016,0.187379714,0.30725581,0.017271806,0.271490007
0.128126779,0.171597633,0.514925373,0.526028193,0.500041386,0.200797008,0.304680328,0.019804228,0.262490353
0.327183664,0.440828402,0.526119403,0.521957169,0.496388806,0.197625767,0.304186093,0.019188998,0.263397976
