Station,Latitude,Longitude,Dates,TDS,EC,pH
DEHOSPPRING,9.166462,40.083482,12/06/2023,1269.12,1.983,8.63
DEHOSPPRING,9.166462,40.083482,12/06/2023,1264,1.975,8.71
DEHOSPPRING,9.166462,40.083482,12/06/2023,1242.24,1.941,8.78
WARC,9.335145,40.172296,17/06/2023,336,0.525,8
WARC,9.335145,40.172296,17/06/2023,332.8,0.52,8.21
WARC,9.335145,40.172296,17/06/2023,336.64,0.526,8.26
WEIR SITE,9.206525,40.119202,17/06/2023,174.72,0.273,8.17
WEIR SITE,9.206525,40.119202,17/06/2023,173.44,0.271,8.16
WEIR SITE,9.206525,40.119202,17/06/2023,176,0.275,8.27
KEBENA,9.251618,40.048613,17/06/2023,285.44,0.446,8.35
KEBENA,9.251618,40.048613,17/06/2023,278.4,0.435,8.37
KEBENA,9.251618,40.048613,17/06/2023,284.8,0.445,8.35
KESEM,9.198116,40.045662,17/06/2023,285.44,0.446,8.18
KESEM,9.198116,40.045662,17/06/2023,302.72,0.473,8.23
KESEM,9.198116,40.045662,17/06/2023,298.24,0.466,8.25
AWASHRIVER@ADDIS RAI,9.188908,40.125419,17/06/2023,280.32,0.438,8.32
AWASHRIVER@ADDIS RAI,9.188908,40.125419,17/06/2023,282.24,0.441,8.28
AWASHRIVER@ADDIS RAI,9.188908,40.125419,17/06/2023,280.96,0.439,8.4
DEHOSPPRING,9.166462,40.083482,17/06/2023,1186.56,1.854,8.61
DEHOSPPRING,9.166462,40.083482,17/06/2023,1205.12,1.883,8.78
DEHOSPPRING,9.166462,40.083482,17/06/2023,1213.44,1.896,8.81
WARC,9.335145,40.172296,22/06/2023,355.84,0.556,8.7
WARC,9.335145,40.172296,22/06/2023,352,0.55,8.57
WARC,9.335145,40.172296,22/06/2023,350.72,0.548,8.64
WEIR SITE,9.206525,40.119202,22/06/2023,185.6,0.29,8.47
WEIR SITE,9.206525,40.119202,22/06/2023,184.32,0.288,8.38
WEIR SITE,9.206525,40.119202,22/06/2023,179.84,0.281,8.39
KEBENA,9.251618,40.048613,22/06/2023,318.72,0.498,8.59
KEBENA,9.251618,40.048613,22/06/2023,320,0.5,8.48
KEBENA,9.251618,40.048613,22/06/2023,316.8,0.495,8.62
KESEM,9.198116,40.045662,22/06/2023,394.88,0.617,8.34
KESEM,9.198116,40.045662,22/06/2023,388.48,0.607,8.2
KESEM,9.198116,40.045662,22/06/2023,384,0.6,8.24
AWASHRIVER@ADDIS RAI,9.188908,40.125419,22/06/2023,313.6,0.49,8.59
AWASHRIVER@ADDIS RAI,9.188908,40.125419,22/06/2023,321.92,0.503,8.57
AWASHRIVER@ADDIS RAI,9.188908,40.125419,22/06/2023,320.64,0.501,8.56
DEHOSPPRING,9.166462,40.083482,22/06/2023,1292.8,2.02,8.72
DEHOSPPRING,9.166462,40.083482,22/06/2023,1257.6,1.965,8.66
DEHOSPPRING,9.166462,40.083482,22/06/2023,1275.52,1.993,8.69
WARC,9.335145,40.172296,27/06/2023,372.48,0.582,8.6
WARC,9.335145,40.172296,27/06/2023,375.04,0.586,9.03
