TDS,EC,pH,B1,B11,B12,B2,B3,B4,B5,B6,B7,B8,B8A,B9
0.123950286,0.123950286,0.388888889,0.2779335,0.38035706,0.32715955,0.28008178,0.2839126,0.30828798,0.3168039,0.34661892,0.36901897,0.35360602,0.38541883,0.18467268
0.12529392,0.12529392,0.548148148,0.2779335,0.38035706,0.32715955,0.28008178,0.2839126,0.30828798,0.3168039,0.34661892,0.36901897,0.35360602,0.38541883,0.18467268
0.126637555,0.126637555,0.414814815,0.2779335,0.38035706,0.32715955,0.28008178,0.2839126,0.30828798,0.3168039,0.34661892,0.36901897,0.35360602,0.38541883,0.18467268
0.119583473,0.119583473,0.42962963,0.27619192,0.3818805,0.3266996,0.2783132,0.28126514,0.303073,0.31341556,0.34778568,0.37147593,0.35688436,0.38901553,0.18691847
0.121934834,0.121934834,0.518518519,0.27619192,0.3818805,0.3266996,0.2783132,0.28126514,0.303073,0.31341556,0.34778568,0.37147593,0.35688436,0.38901553,0.18691847
0.120591199,0.120591199,0.540740741,0.27619192,0.3818805,0.3266996,0.2783132,0.28126514,0.303073,0.31341556,0.34778568,0.37147593,0.35688436,0.38901553,0.18691847
0.029224051,0.029224051,0.57037037,0.27910283,0.3879617,0.3306379,0.28342524,0.28564948,0.3064957,0.31812295,0.3541358,0.3781779,0.36396042,0.39633632,0.19321476
0.027208599,0.027208599,0.577777778,0.27910283,0.3879617,0.3306379,0.28342524,0.28564948,0.3064957,0.31812295,0.3541358,0.3781779,0.36396042,0.39633632,0.19321476
0.027208599,0.027208599,0.537037037,0.27910283,0.3879617,0.3306379,0.28342524,0.28564948,0.3064957,0.31812295,0.3541358,0.3781779,0.36396042,0.39633632,0.19321476
0.11555257,0.11555257,0.262962963,0.27736664,0.38651967,0.3290917,0.28092226,0.2830242,0.30311355,0.31507316,0.35245052,0.37691805,0.36291987,0.39534655,0.19200471
0.105139402,0.105139402,0.459259259,0.27736664,0.38651967,0.3290917,0.28092226,0.2830242,0.30311355,0.31507316,0.35245052,0.37691805,0.36291987,0.39534655,0.19200471
0.104803493,0.104803493,0.485185185,0.27736664,0.38651967,0.3290917,0.28092226,0.2830242,0.30311355,0.31507316,0.35245052,0.37691805,0.36291987,0.39534655,0.19200471
0.128653006,0.128653006,0.455555556,0.27555904,0.3810331,0.3260178,0.2773204,0.28030968,0.30203754,0.31233948,0.3468618,0.3706136,0.3560368,0.38815755,0.18610258
